expr,time
sol4,68179756
sol6,360282579
sol6,343813917
sol9,350857848
sol4,82536715
sol8,164793428
sol4,66383973
sol8,151471153
sol5,129520848
sol1,65767525
sol1,76775072
sol2,131348062
sol8,150651361
sol2,131533767
sol7,84876460
sol1,64149429
sol1,100873645
sol3,371559541
sol6,522861027
sol5,180487200
sol1,279900868
sol3,309047133
sol5,159541109
sol4,76284351
sol8,173551676
sol6,544836669
sol7,86483330
sol9,384604061
sol2,133332115
sol9,360900311
sol6,347880487
sol2,141905942
sol7,73896495
sol3,343511465
sol5,141035474
sol7,75560457
sol6,571630359
sol6,311285205
sol3,492215337
sol2,154215985
sol9,388442270
sol9,530290158
sol4,66118407
sol7,72793816
sol6,343538408
sol8,326656321
sol6,335089346
sol8,175257974
sol4,80114862
sol1,64653300
sol5,181978607
sol2,169017478
sol6,383335242
sol7,75488292
sol2,147588363
sol2,127390221
sol3,320694221
sol3,489187941
sol8,153029594
sol5,340393624
sol6,312108206
sol9,523446684
sol7,82971949
sol8,183306120
sol7,71726418
sol2,126759982
sol3,399991213
sol1,65703700
sol1,65934307
sol5,138342602
sol1,72665203
sol9,526822075
sol7,74231982
sol9,498735191
sol1,65203678
sol6,345489745
sol9,550359045
sol9,318674246
sol5,324547503
sol2,131909345
sol4,66204042
sol1,75768292
sol2,128859818
sol7,76831842
sol5,143614485
sol4,66183195
sol7,87233524
sol4,65697606
sol4,78511840
sol9,356055643
sol1,74618145
sol3,526591789
sol6,499187746
sol6,502863342
sol5,151925311
sol4,257787632
sol6,336530077
sol3,324106175
sol3,338961551
sol5,400871303
sol8,171699766
sol4,66266585
sol5,168340732
sol7,74559130
sol9,360950344
sol3,342949862
sol8,150498371
sol7,74883711
sol4,74463872
sol1,102575773
sol5,129902520
sol2,166167126
sol6,381979506
sol3,502008269
sol8,138035661
sol9,351138490
sol7,75021947
sol9,603470777
sol2,129716817
sol8,148773471
sol2,136189523
sol5,143911163
sol4,67082529
sol6,344089747
sol5,146098240
sol3,572911686
sol2,174730048
sol5,148279863
sol5,141907225
sol9,335735943
sol6,329414942
sol2,176612108
sol3,592444629
sol6,317969916
sol6,321494449
sol8,148553448
sol4,67220444
sol7,82057540
sol2,209085011
sol1,330173155
sol5,153658871
sol5,129572808
sol8,152798666
sol7,135993234
sol3,346440076
sol8,167338763
sol2,145570313
sol5,142847934
sol1,66067089
sol3,346826559
sol6,523945423
sol2,143531095
sol8,232225555
sol6,336637202
sol8,150955094
sol4,80557473
sol4,66387181
sol3,314200987
sol8,151000318
sol8,151363066
sol9,320988332
